"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 24 03:12:46 GMT 2025","Tue Jun 24 03:12:46 GMT 2025","19","","","","","","Обязательность наличия категории в трате",""
"passed","Tue Jun 24 03:12:50 GMT 2025","Tue Jun 24 03:12:50 GMT 2025","160","","","","","","Обновление полного имени и типа валюты у пользователя",""
"passed","Tue Jun 24 03:12:47 GMT 2025","Tue Jun 24 03:12:47 GMT 2025","445","","","","","","Получение списка друзей",""
"broken","Tue Jun 24 03:12:49 GMT 2025","Tue Jun 24 03:12:49 GMT 2025","0","","","","","","Наличие свойства required у полей имя пользователя и пароль",""
"passed","Tue Jun 24 03:12:46 GMT 2025","Tue Jun 24 03:12:46 GMT 2025","0","","","","","","Возможность добавления траты без описания",""
"broken","Tue Jun 24 03:12:47 GMT 2025","Tue Jun 24 03:12:47 GMT 2025","0","","","","","","Обновление существующей категории через API",""
"broken","Tue Jun 24 03:12:48 GMT 2025","Tue Jun 24 03:12:48 GMT 2025","0","","","","","","Наличие свойства required у полей имя пользователя и пароль",""
"passed","Tue Jun 24 03:12:49 GMT 2025","Tue Jun 24 03:12:49 GMT 2025","30","","","","","","Получение информации о существующем пользователе по его username",""
"passed","Tue Jun 24 03:12:46 GMT 2025","Tue Jun 24 03:12:46 GMT 2025","16","","","","","","Обязательность наличия типа валюты",""
"passed","Tue Jun 24 03:12:49 GMT 2025","Tue Jun 24 03:12:49 GMT 2025","16","","","","","","Запрос информации о незарегистрированном пользователе в системе по username",""
"broken","Tue Jun 24 03:12:46 GMT 2025","Tue Jun 24 03:12:46 GMT 2025","0","","","","","","Добавление новой категории через API",""
"passed","Tue Jun 24 03:12:45 GMT 2025","Tue Jun 24 03:12:45 GMT 2025","49","","","","","","Создание новой траты",""
"broken","Tue Jun 24 03:12:49 GMT 2025","Tue Jun 24 03:12:49 GMT 2025","0","","","","","","Граничные значения у поля ""Пароль"" на странице регистрации",""
"passed","Tue Jun 24 03:12:45 GMT 2025","Tue Jun 24 03:12:45 GMT 2025","27","","","","","","Получение существующей траты по id",""
"passed","Tue Jun 24 03:12:46 GMT 2025","Tue Jun 24 03:12:46 GMT 2025","17","","","","","","Граничные значения для значения суммы",""
"broken","Tue Jun 24 03:12:46 GMT 2025","Tue Jun 24 03:12:46 GMT 2025","0","","","","","","Граничные значения для значения суммы",""
"passed","Tue Jun 24 03:12:46 GMT 2025","Tue Jun 24 03:12:46 GMT 2025","87","","","","","","Нет возможности добавить дубль существующей архивной категории",""
"passed","Tue Jun 24 03:12:46 GMT 2025","Tue Jun 24 03:12:46 GMT 2025","11","","","","","","Граничные значения для значения суммы",""
"passed","Tue Jun 24 03:12:52 GMT 2025","Tue Jun 24 03:12:54 GMT 2025","2257","","","","","","Авторизация под существующим пользователем",""
"passed","Tue Jun 24 03:12:45 GMT 2025","Tue Jun 24 03:12:45 GMT 2025","163","","","","","","Граничные значения для по количеству символов в имени категории, positive",""
"broken","Tue Jun 24 03:12:48 GMT 2025","Tue Jun 24 03:12:48 GMT 2025","0","","","","","","Граничные значения у поля ""Пароль"" на странице регистрации",""
"broken","Tue Jun 24 03:12:49 GMT 2025","Tue Jun 24 03:12:49 GMT 2025","0","","","","","","Граничные значения у поля ""Имя пользователя"" на странице регистрации",""
"broken","Tue Jun 24 03:12:50 GMT 2025","Tue Jun 24 03:12:50 GMT 2025","191","","","","","","Отправка запроса на дружбу",""
"broken","Tue Jun 24 03:12:47 GMT 2025","Tue Jun 24 03:12:47 GMT 2025","0","","","","","","Нет возможности добавить дубль существующей категории",""
"broken","Tue Jun 24 03:12:43 GMT 2025","Tue Jun 24 03:12:43 GMT 2025","0","","","","","","Граничные значения у поля ""Имя пользователя"" на странице регистрации",""
"passed","Tue Jun 24 03:12:46 GMT 2025","Tue Jun 24 03:12:46 GMT 2025","14","","","","","","Граничные значения по количеству символов в имени категории, negative",""
"passed","Tue Jun 24 03:12:45 GMT 2025","Tue Jun 24 03:12:45 GMT 2025","25","","","","","","Обязательность наличия суммы траты",""
"passed","Tue Jun 24 03:12:46 GMT 2025","Tue Jun 24 03:12:46 GMT 2025","13","","","","","","Граничные значения по количеству символов в имени категории, negative",""
"passed","Tue Jun 24 03:12:46 GMT 2025","Tue Jun 24 03:12:46 GMT 2025","20","","","","","","Граничные значения для по количеству символов в имени категории, positive",""
"passed","Tue Jun 24 03:12:47 GMT 2025","Tue Jun 24 03:12:48 GMT 2025","299","","","","","","Удаление друга",""
"passed","Tue Jun 24 03:12:46 GMT 2025","Tue Jun 24 03:12:47 GMT 2025","566","","","","","","Принятие запроса на дружбу",""
"passed","Tue Jun 24 03:12:54 GMT 2025","Tue Jun 24 03:12:55 GMT 2025","526","","","","","","Регистрация пользователя с валидными данными",""
"broken","Tue Jun 24 03:12:43 GMT 2025","Tue Jun 24 03:12:43 GMT 2025","0","","","","","","Граничные значения для значения суммы",""
"broken","Tue Jun 24 03:12:47 GMT 2025","Tue Jun 24 03:12:47 GMT 2025","204","","","","","","Отклонение запроса на дружбу",""
"broken","Tue Jun 24 03:12:49 GMT 2025","Tue Jun 24 03:12:49 GMT 2025","0","","","","","","Авторизация под не существующим пользователем",""
