"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 23 10:00:31 GMT 2025","Mon Jun 23 10:00:31 GMT 2025","26","","","","","","Граничные значения по количеству символов в имени категории, negative",""
"broken","Mon Jun 23 10:00:32 GMT 2025","Mon Jun 23 10:00:32 GMT 2025","0","","","","","","Добавление новой категории через API",""
"passed","Mon Jun 23 10:00:00 GMT 2025","Mon Jun 23 10:00:02 GMT 2025","1821","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Mon Jun 23 10:00:30 GMT 2025","Mon Jun 23 10:00:30 GMT 2025","30","","","","","","Получение существующей траты по id",""
"passed","Mon Jun 23 10:00:31 GMT 2025","Mon Jun 23 10:00:31 GMT 2025","25","","","","","","Запрос информации о незарегистрированном пользователе в системе по username",""
"passed","Mon Jun 23 10:00:13 GMT 2025","Mon Jun 23 10:00:13 GMT 2025","790","","","","","","Поиск трат по типу валюты",""
"passed","Mon Jun 23 10:00:14 GMT 2025","Mon Jun 23 10:00:15 GMT 2025","740","","","","","","Максимальное количество не архивных категорий для пользователя",""
"passed","Mon Jun 23 10:00:20 GMT 2025","Mon Jun 23 10:00:22 GMT 2025","2561","","","","","","Архивные категории не отображаются при добавлении траты",""
"passed","Mon Jun 23 10:00:23 GMT 2025","Mon Jun 23 10:00:23 GMT 2025","170","","","","","","Убедиться в наличии сообщения в Kafka после успешной регистрации нового пользователя",""
"passed","Mon Jun 23 10:00:30 GMT 2025","Mon Jun 23 10:00:30 GMT 2025","38","","","","","","Создание новой траты",""
"passed","Mon Jun 23 10:00:34 GMT 2025","Mon Jun 23 10:00:35 GMT 2025","587","","","","","","Граничные значения у поля ""Имя пользователя"" на странице регистрации",""
"passed","Mon Jun 23 10:00:08 GMT 2025","Mon Jun 23 10:00:09 GMT 2025","880","","","","","","Поиск трат по имени категории",""
"passed","Mon Jun 23 10:00:09 GMT 2025","Mon Jun 23 10:00:10 GMT 2025","918","","","","","","Поиск трат по дате",""
"passed","Mon Jun 23 10:00:34 GMT 2025","Mon Jun 23 10:00:34 GMT 2025","401","","","","","","Удаление друга",""
"passed","Mon Jun 23 10:00:23 GMT 2025","Mon Jun 23 10:00:23 GMT 2025","2","","","","","","Добавление категории через API, проверка корректности данных в БД",""
"broken","Mon Jun 23 10:00:34 GMT 2025","Mon Jun 23 10:00:34 GMT 2025","0","","","","","","Нет возможности добавить дубль существующей категории",""
"passed","Mon Jun 23 10:00:23 GMT 2025","Mon Jun 23 10:00:23 GMT 2025","15","","","","","","Обновление категории через API, проверка корректности данных в БД",""
"broken","Mon Jun 23 10:00:29 GMT 2025","Mon Jun 23 10:00:29 GMT 2025","0","","","","","","Граничные значения для значения суммы",""
"passed","Mon Jun 23 10:00:33 GMT 2025","Mon Jun 23 10:00:34 GMT 2025","920","","","","","","Граничные значения у поля ""Пароль"" на странице регистрации",""
"passed","Mon Jun 23 10:00:15 GMT 2025","Mon Jun 23 10:00:16 GMT 2025","736","","","","","","Максимальное количество не архивных категорий для пользователя",""
"passed","Mon Jun 23 10:00:11 GMT 2025","Mon Jun 23 10:00:12 GMT 2025","840","","","","","","Поиск трат по типу валюты",""
"passed","Mon Jun 23 10:00:30 GMT 2025","Mon Jun 23 10:00:31 GMT 2025","965","","","","","","Граничные значения у поля ""Имя пользователя"" на странице регистрации",""
"passed","Mon Jun 23 10:00:31 GMT 2025","Mon Jun 23 10:00:31 GMT 2025","88","","","","","","Нет возможности добавить дубль существующей архивной категории",""
"passed","Mon Jun 23 09:59:54 GMT 2025","Mon Jun 23 09:59:54 GMT 2025","758","","","","","","Подсказки об обязательности полей суммы и категории при добавлении траты",""
"passed","Mon Jun 23 10:00:30 GMT 2025","Mon Jun 23 10:00:30 GMT 2025","17","","","","","","Обязательность наличия типа валюты",""
"passed","Mon Jun 23 10:00:06 GMT 2025","Mon Jun 23 10:00:07 GMT 2025","830","","","","","","Поиск трат по имени категории",""
"failed","Mon Jun 23 10:00:35 GMT 2025","Mon Jun 23 10:00:36 GMT 2025","618","","","","","","Наличие свойства required у полей имя пользователя и пароль",""
"broken","Mon Jun 23 10:00:33 GMT 2025","Mon Jun 23 10:00:33 GMT 2025","0","","","","","","Обновление существующей категории через API",""
"passed","Mon Jun 23 09:59:55 GMT 2025","Mon Jun 23 09:59:56 GMT 2025","887","","","","","","Создание траты без обязательного поля суммы",""
"passed","Mon Jun 23 10:00:31 GMT 2025","Mon Jun 23 10:00:34 GMT 2025","2746","","","","","","Авторизация под существующим пользователем",""
"passed","Mon Jun 23 10:00:31 GMT 2025","Mon Jun 23 10:00:31 GMT 2025","21","","","","","","Получение информации о существующем пользователе по его username",""
"passed","Mon Jun 23 09:59:56 GMT 2025","Mon Jun 23 09:59:58 GMT 2025","1728","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Mon Jun 23 09:59:54 GMT 2025","Mon Jun 23 09:59:55 GMT 2025","834","","","","","","Создание траты без обязательного поля категории",""
"passed","Mon Jun 23 10:00:36 GMT 2025","Mon Jun 23 10:00:36 GMT 2025","561","","","","","","Регистрация пользователя с валидными данными",""
"passed","Mon Jun 23 10:00:03 GMT 2025","Mon Jun 23 10:00:05 GMT 2025","1910","","","","","","Удаление траты через GUI Niffler",""
"passed","Mon Jun 23 10:00:31 GMT 2025","Mon Jun 23 10:00:31 GMT 2025","36","","","","","","Граничные значения для по количеству символов в имени категории, positive",""
"passed","Mon Jun 23 10:00:32 GMT 2025","Mon Jun 23 10:00:32 GMT 2025","440","","","","","","Отправка запроса на дружбу",""
"broken","Mon Jun 23 10:00:31 GMT 2025","Mon Jun 23 10:00:31 GMT 2025","0","","","","","","Граничные значения для значения суммы",""
"passed","Mon Jun 23 10:00:22 GMT 2025","Mon Jun 23 10:00:23 GMT 2025","235","","","","","","Отображение не архивной категории пользователя при добавлении траты",""
"passed","Mon Jun 23 10:00:31 GMT 2025","Mon Jun 23 10:00:31 GMT 2025","0","","","","","","Возможность добавления траты без описания",""
"passed","Mon Jun 23 10:00:05 GMT 2025","Mon Jun 23 10:00:05 GMT 2025","35","","","","","","Обновление траты через API, проверка корректности данных в БД",""
"passed","Mon Jun 23 10:00:32 GMT 2025","Mon Jun 23 10:00:32 GMT 2025","401","","","","","","Принятие запроса на дружбу",""
"passed","Mon Jun 23 10:00:30 GMT 2025","Mon Jun 23 10:00:30 GMT 2025","18","","","","","","Обязательность наличия категории в трате",""
"passed","Mon Jun 23 10:00:17 GMT 2025","Mon Jun 23 10:00:20 GMT 2025","2399","","","","","","Запрет на дубликаты категорий при существования архивной",""
"passed","Mon Jun 23 10:00:13 GMT 2025","Mon Jun 23 10:00:14 GMT 2025","757","","","","","","Поиск трат по типу валюты",""
"passed","Mon Jun 23 10:00:06 GMT 2025","Mon Jun 23 10:00:06 GMT 2025","883","","","","","","Поиск трат по имени категории",""
"passed","Mon Jun 23 10:00:02 GMT 2025","Mon Jun 23 10:00:03 GMT 2025","1350","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"failed","Mon Jun 23 10:00:32 GMT 2025","Mon Jun 23 10:00:33 GMT 2025","770","","","","","","Наличие свойства required у полей имя пользователя и пароль",""
"passed","Mon Jun 23 10:00:31 GMT 2025","Mon Jun 23 10:00:31 GMT 2025","19","","","","","","Граничные значения для значения суммы",""
"passed","Mon Jun 23 10:00:32 GMT 2025","Mon Jun 23 10:00:33 GMT 2025","369","","","","","","Отклонение запроса на дружбу",""
"passed","Mon Jun 23 10:00:34 GMT 2025","Mon Jun 23 10:00:34 GMT 2025","659","","","","","","Граничные значения у поля ""Пароль"" на странице регистрации",""
"passed","Mon Jun 23 10:00:10 GMT 2025","Mon Jun 23 10:00:11 GMT 2025","902","","","","","","Поиск трат по дате",""
"passed","Mon Jun 23 10:00:07 GMT 2025","Mon Jun 23 10:00:08 GMT 2025","942","","","","","","Поиск трат по имени категории",""
"passed","Mon Jun 23 10:00:23 GMT 2025","Mon Jun 23 10:00:24 GMT 2025","846","","","","","","Сервис niffler-userdata должен забирать сообщение из топика Kafka",""
"passed","Mon Jun 23 10:00:33 GMT 2025","Mon Jun 23 10:00:33 GMT 2025","695","","","","","","Получение списка друзей",""
"passed","Mon Jun 23 10:00:30 GMT 2025","Mon Jun 23 10:00:30 GMT 2025","21","","","","","","Обязательность наличия суммы траты",""
"passed","Mon Jun 23 10:00:05 GMT 2025","Mon Jun 23 10:00:05 GMT 2025","33","","","","","","Добавление траты через API, проверка корректности данных в БД",""
"passed","Mon Jun 23 09:59:52 GMT 2025","Mon Jun 23 09:59:54 GMT 2025","1586","","","","","","Добавление новой траты через GUI Niffler",""
"passed","Mon Jun 23 10:00:31 GMT 2025","Mon Jun 23 10:00:31 GMT 2025","26","","","","","","Граничные значения по количеству символов в имени категории, negative",""
"passed","Mon Jun 23 10:00:16 GMT 2025","Mon Jun 23 10:00:17 GMT 2025","1185","","","","","","Запрет на дубликаты категорий",""
"failed","Mon Jun 23 10:00:34 GMT 2025","Mon Jun 23 10:00:35 GMT 2025","974","","","","","","Авторизация под не существующим пользователем",""
"passed","Mon Jun 23 10:00:12 GMT 2025","Mon Jun 23 10:00:13 GMT 2025","763","","","","","","Поиск трат по типу валюты",""
"passed","Mon Jun 23 10:00:31 GMT 2025","Mon Jun 23 10:00:31 GMT 2025","24","","","","","","Граничные значения для значения суммы",""
"passed","Mon Jun 23 10:00:30 GMT 2025","Mon Jun 23 10:00:30 GMT 2025","39","","","","","","Граничные значения для по количеству символов в имени категории, positive",""
"passed","Mon Jun 23 09:59:58 GMT 2025","Mon Jun 23 10:00:00 GMT 2025","1797","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Mon Jun 23 10:00:31 GMT 2025","Mon Jun 23 10:00:32 GMT 2025","286","","","","","","Обновление полного имени и типа валюты у пользователя",""
