"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 23 11:12:08 GMT 2025","Mon Jun 23 11:12:09 GMT 2025","183","","","","","","Убедиться в наличии сообщения в Kafka после успешной регистрации нового пользователя",""
"passed","Mon Jun 23 11:12:09 GMT 2025","Mon Jun 23 11:12:09 GMT 2025","808","","","","","","Сервис niffler-userdata должен забирать сообщение из топика Kafka",""
"passed","Mon Jun 23 11:12:04 GMT 2025","Mon Jun 23 11:12:05 GMT 2025","537","","","","","","Регистрация пользователя с валидными данными",""
"failed","Mon Jun 23 11:12:06 GMT 2025","Mon Jun 23 11:12:06 GMT 2025","263","","","","","","Наличие свойства required у полей имя пользователя и пароль",""
"passed","Mon Jun 23 11:12:06 GMT 2025","Mon Jun 23 11:12:07 GMT 2025","401","","","","","","Граничные значения у поля ""Пароль"" на странице регистрации",""
"passed","Mon Jun 23 11:12:07 GMT 2025","Mon Jun 23 11:12:08 GMT 2025","858","","","","","","Граничные значения у поля ""Пароль"" на странице регистрации",""
"failed","Mon Jun 23 11:12:06 GMT 2025","Mon Jun 23 11:12:06 GMT 2025","272","","","","","","Наличие свойства required у полей имя пользователя и пароль",""
"passed","Mon Jun 23 11:12:00 GMT 2025","Mon Jun 23 11:12:04 GMT 2025","3520","","","","","","Авторизация под существующим пользователем",""
"passed","Mon Jun 23 11:12:08 GMT 2025","Mon Jun 23 11:12:08 GMT 2025","364","","","","","","Граничные значения у поля ""Имя пользователя"" на странице регистрации",""
"failed","Mon Jun 23 11:12:05 GMT 2025","Mon Jun 23 11:12:06 GMT 2025","624","","","","","","Авторизация под не существующим пользователем",""
"passed","Mon Jun 23 11:12:08 GMT 2025","Mon Jun 23 11:12:08 GMT 2025","402","","","","","","Граничные значения у поля ""Имя пользователя"" на странице регистрации",""
