"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 30 16:19:58 GMT 2025","Wed Jul 30 16:19:58 GMT 2025","424","","","","","","Отправка запроса на дружбу",""
"passed","Wed Jul 30 16:19:43 GMT 2025","Wed Jul 30 16:19:44 GMT 2025","1200","","","","","","Запрет на дубликаты категорий",""
"passed","Wed Jul 30 16:19:58 GMT 2025","Wed Jul 30 16:19:59 GMT 2025","303","","","","","","Отклонение запроса на дружбу",""
"passed","Wed Jul 30 16:19:57 GMT 2025","Wed Jul 30 16:19:57 GMT 2025","25","","","","","","Отправка запроса на конвертацию без значения типа конвертируемой валюты",""
"passed","Wed Jul 30 16:19:30 GMT 2025","Wed Jul 30 16:19:32 GMT 2025","1913","","","","","","Удаление траты через GUI Niffler",""
"passed","Wed Jul 30 16:19:25 GMT 2025","Wed Jul 30 16:19:27 GMT 2025","1724","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Wed Jul 30 16:19:59 GMT 2025","Wed Jul 30 16:20:00 GMT 2025","325","","","","","","Удаление друга",""
"passed","Wed Jul 30 16:19:59 GMT 2025","Wed Jul 30 16:20:00 GMT 2025","505","","","","","","Граничные значения у поля ""Имя пользователя"" на странице регистрации",""
"passed","Wed Jul 30 16:19:36 GMT 2025","Wed Jul 30 16:19:37 GMT 2025","870","","","","","","Поиск трат по дате",""
"broken","Wed Jul 30 16:20:02 GMT 2025","Wed Jul 30 16:20:02 GMT 2025","0","","","","","","Граничные значения для значения суммы",""
"passed","Wed Jul 30 16:20:04 GMT 2025","Wed Jul 30 16:20:04 GMT 2025","1","","","","","","Возможность добавления траты без описания",""
"passed","Wed Jul 30 16:19:28 GMT 2025","Wed Jul 30 16:19:30 GMT 2025","1719","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Wed Jul 30 16:19:35 GMT 2025","Wed Jul 30 16:19:35 GMT 2025","883","","","","","","Поиск трат по имени категории",""
"passed","Wed Jul 30 16:19:49 GMT 2025","Wed Jul 30 16:19:50 GMT 2025","669","","","","","","Отображение не архивной категории пользователя при добавлении траты",""
"passed","Wed Jul 30 16:20:01 GMT 2025","Wed Jul 30 16:20:01 GMT 2025","5","","","","","","Конвертация валют",""
"passed","Wed Jul 30 16:20:03 GMT 2025","Wed Jul 30 16:20:03 GMT 2025","14","","","","","","Обязательность наличия категории в трате",""
"passed","Wed Jul 30 16:19:21 GMT 2025","Wed Jul 30 16:19:21 GMT 2025","775","","","","","","Подсказки об обязательности полей суммы и категории при добавлении траты",""
"passed","Wed Jul 30 16:20:05 GMT 2025","Wed Jul 30 16:20:05 GMT 2025","452","","","","","","Наличие свойства required у полей имя пользователя и пароль",""
"passed","Wed Jul 30 16:19:21 GMT 2025","Wed Jul 30 16:19:22 GMT 2025","852","","","","","","Создание траты без обязательного поля категории",""
"passed","Wed Jul 30 16:20:01 GMT 2025","Wed Jul 30 16:20:01 GMT 2025","7","","","","","","Конвертация валют",""
"passed","Wed Jul 30 16:19:57 GMT 2025","Wed Jul 30 16:19:57 GMT 2025","8","","","","","","Получение всех поддерживаемых типов валют",""
"passed","Wed Jul 30 16:20:01 GMT 2025","Wed Jul 30 16:20:01 GMT 2025","5","","","","","","Конвертация валют",""
"passed","Wed Jul 30 16:19:38 GMT 2025","Wed Jul 30 16:19:39 GMT 2025","783","","","","","","Поиск трат по типу валюты",""
"passed","Wed Jul 30 16:19:19 GMT 2025","Wed Jul 30 16:19:21 GMT 2025","1652","","","","","","Добавление новой траты через GUI Niffler",""
"passed","Wed Jul 30 16:19:34 GMT 2025","Wed Jul 30 16:19:35 GMT 2025","833","","","","","","Поиск трат по имени категории",""
"passed","Wed Jul 30 16:20:01 GMT 2025","Wed Jul 30 16:20:03 GMT 2025","1781","","","","","","Авторизация под существующим пользователем",""
"passed","Wed Jul 30 16:20:00 GMT 2025","Wed Jul 30 16:20:00 GMT 2025","28","","","","","","Получение существующей траты по id",""
"passed","Wed Jul 30 16:19:50 GMT 2025","Wed Jul 30 16:19:50 GMT 2025","174","","","","","","Убедиться в наличии сообщения в Kafka после успешной регистрации нового пользователя",""
"passed","Wed Jul 30 16:20:01 GMT 2025","Wed Jul 30 16:20:01 GMT 2025","23","","","","","","Обязательность наличия суммы траты",""
"broken","Wed Jul 30 16:20:01 GMT 2025","Wed Jul 30 16:20:01 GMT 2025","0","","","","","","Граничные значения для значения суммы",""
"passed","Wed Jul 30 16:19:59 GMT 2025","Wed Jul 30 16:19:59 GMT 2025","38","","","","","","Создание новой траты",""
"passed","Wed Jul 30 16:19:35 GMT 2025","Wed Jul 30 16:19:36 GMT 2025","865","","","","","","Поиск трат по имени категории",""
"passed","Wed Jul 30 16:20:00 GMT 2025","Wed Jul 30 16:20:00 GMT 2025","72","","","","","","Нет возможности добавить дубль существующей категории",""
"passed","Wed Jul 30 16:20:03 GMT 2025","Wed Jul 30 16:20:04 GMT 2025","743","","","","","","Регистрация пользователя с валидными данными",""
"passed","Wed Jul 30 16:19:50 GMT 2025","Wed Jul 30 16:19:50 GMT 2025","17","","","","","","Обновление категории через API, проверка корректности данных в БД",""
"passed","Wed Jul 30 16:19:58 GMT 2025","Wed Jul 30 16:19:58 GMT 2025","585","","","","","","Наличие свойства required у полей имя пользователя и пароль",""
"passed","Wed Jul 30 16:19:27 GMT 2025","Wed Jul 30 16:19:28 GMT 2025","1772","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Wed Jul 30 16:19:59 GMT 2025","Wed Jul 30 16:19:59 GMT 2025","56","","","","","","Обновление существующей категории через API",""
"passed","Wed Jul 30 16:19:44 GMT 2025","Wed Jul 30 16:19:47 GMT 2025","2421","","","","","","Запрет на дубликаты категорий при существования архивной",""
"broken","Wed Jul 30 16:20:03 GMT 2025","Wed Jul 30 16:20:03 GMT 2025","0","","","","","","Граничные значения для по количеству символов в имени категории, positive",""
"passed","Wed Jul 30 16:19:47 GMT 2025","Wed Jul 30 16:19:49 GMT 2025","2552","","","","","","Архивные категории не отображаются при добавлении траты",""
"broken","Wed Jul 30 16:20:03 GMT 2025","Wed Jul 30 16:20:03 GMT 2025","0","","","","","","Граничные значения для по количеству символов в имени категории, positive",""
"broken","Wed Jul 30 16:20:01 GMT 2025","Wed Jul 30 16:20:01 GMT 2025","0","","","","","","Граничные значения для значения суммы",""
"passed","Wed Jul 30 16:19:32 GMT 2025","Wed Jul 30 16:19:32 GMT 2025","38","","","","","","Обновление траты через API, проверка корректности данных в БД",""
"passed","Wed Jul 30 16:19:57 GMT 2025","Wed Jul 30 16:19:57 GMT 2025","18","","","","","","Отправка запроса на конвертацию без значения суммы",""
"passed","Wed Jul 30 16:19:33 GMT 2025","Wed Jul 30 16:19:34 GMT 2025","955","","","","","","Поиск трат по имени категории",""
"passed","Wed Jul 30 16:19:50 GMT 2025","Wed Jul 30 16:19:50 GMT 2025","2","","","","","","Добавление категории через API, проверка корректности данных в БД",""
"passed","Wed Jul 30 16:19:22 GMT 2025","Wed Jul 30 16:19:23 GMT 2025","906","","","","","","Создание траты без обязательного поля суммы",""
"passed","Wed Jul 30 16:19:58 GMT 2025","Wed Jul 30 16:19:58 GMT 2025","264","","","","","","Принятие запроса на дружбу",""
"passed","Wed Jul 30 16:19:40 GMT 2025","Wed Jul 30 16:19:41 GMT 2025","773","","","","","","Поиск трат по типу валюты",""
"passed","Wed Jul 30 16:20:00 GMT 2025","Wed Jul 30 16:20:01 GMT 2025","619","","","","","","Граничные значения у поля ""Имя пользователя"" на странице регистрации",""
