"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 24 02:50:37 GMT 2025","Tue Jun 24 02:50:37 GMT 2025","371","","","","","","Граничные значения у поля ""Имя пользователя"" на странице регистрации",""
"failed","Tue Jun 24 02:50:35 GMT 2025","Tue Jun 24 02:50:36 GMT 2025","615","","","","","","Авторизация под не существующим пользователем",""
"passed","Tue Jun 24 02:50:37 GMT 2025","Tue Jun 24 02:50:37 GMT 2025","425","","","","","","Граничные значения у поля ""Пароль"" на странице регистрации",""
"passed","Tue Jun 24 02:50:38 GMT 2025","Tue Jun 24 02:50:38 GMT 2025","197","","","","","","Убедиться в наличии сообщения в Kafka после успешной регистрации нового пользователя",""
"passed","Tue Jun 24 02:50:37 GMT 2025","Tue Jun 24 02:50:38 GMT 2025","397","","","","","","Граничные значения у поля ""Имя пользователя"" на странице регистрации",""
"passed","Tue Jun 24 02:50:38 GMT 2025","Tue Jun 24 02:50:39 GMT 2025","799","","","","","","Сервис niffler-userdata должен забирать сообщение из топика Kafka",""
"failed","Tue Jun 24 02:50:36 GMT 2025","Tue Jun 24 02:50:36 GMT 2025","253","","","","","","Наличие свойства required у полей имя пользователя и пароль",""
"passed","Tue Jun 24 02:50:34 GMT 2025","Tue Jun 24 02:50:35 GMT 2025","514","","","","","","Регистрация пользователя с валидными данными",""
"failed","Tue Jun 24 02:50:36 GMT 2025","Tue Jun 24 02:50:36 GMT 2025","248","","","","","","Наличие свойства required у полей имя пользователя и пароль",""
"passed","Tue Jun 24 02:50:31 GMT 2025","Tue Jun 24 02:50:34 GMT 2025","2528","","","","","","Авторизация под существующим пользователем",""
"passed","Tue Jun 24 02:50:36 GMT 2025","Tue Jun 24 02:50:37 GMT 2025","403","","","","","","Граничные значения у поля ""Пароль"" на странице регистрации",""
