"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 22 09:49:27 GMT 2025","Tue Jul 22 09:49:28 GMT 2025","378","","","","","","Отправка запроса на дружбу",""
"passed","Tue Jul 22 09:49:00 GMT 2025","Tue Jul 22 09:49:00 GMT 2025","27","","","","","","Добавление траты через API, проверка корректности данных в БД",""
"passed","Tue Jul 22 09:49:19 GMT 2025","Tue Jul 22 09:49:19 GMT 2025","1","","","","","","Добавление категории через API, проверка корректности данных в БД",""
"passed","Tue Jul 22 09:48:51 GMT 2025","Tue Jul 22 09:48:52 GMT 2025","849","","","","","","Создание траты без обязательного поля суммы",""
"passed","Tue Jul 22 09:49:19 GMT 2025","Tue Jul 22 09:49:19 GMT 2025","173","","","","","","Убедиться в наличии сообщения в Kafka после успешной регистрации нового пользователя",""
"passed","Tue Jul 22 09:49:30 GMT 2025","Tue Jul 22 09:49:31 GMT 2025","697","","","","","","Регистрация пользователя с валидными данными",""
"passed","Tue Jul 22 09:49:06 GMT 2025","Tue Jul 22 09:49:07 GMT 2025","816","","","","","","Поиск трат по типу валюты",""
"passed","Tue Jul 22 09:49:34 GMT 2025","Tue Jul 22 09:49:34 GMT 2025","12","","","","","","Граничные значения для значения суммы",""
"passed","Tue Jul 22 09:49:31 GMT 2025","Tue Jul 22 09:49:31 GMT 2025","590","","","","","","Граничные значения у поля ""Пароль"" на странице регистрации",""
"passed","Tue Jul 22 09:48:50 GMT 2025","Tue Jul 22 09:48:51 GMT 2025","841","","","","","","Создание траты без обязательного поля категории",""
"passed","Tue Jul 22 09:49:29 GMT 2025","Tue Jul 22 09:49:29 GMT 2025","25","","","","","","Получение существующей траты по id",""
"passed","Tue Jul 22 09:49:30 GMT 2025","Tue Jul 22 09:49:30 GMT 2025","17","","","","","","Обязательность наличия суммы траты",""
"passed","Tue Jul 22 09:49:33 GMT 2025","Tue Jul 22 09:49:33 GMT 2025","1","","","","","","Возможность добавления траты без описания",""
"passed","Tue Jul 22 09:48:55 GMT 2025","Tue Jul 22 09:48:56 GMT 2025","1753","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Tue Jul 22 09:49:27 GMT 2025","Tue Jul 22 09:49:27 GMT 2025","14","","","","","","Граничные значения для значения суммы",""
"passed","Tue Jul 22 09:49:32 GMT 2025","Tue Jul 22 09:49:33 GMT 2025","755","","","","","","Наличие свойства required у полей имя пользователя и пароль",""
"passed","Tue Jul 22 09:49:33 GMT 2025","Tue Jul 22 09:49:33 GMT 2025","11","","","","","","Граничные значения по количеству символов в имени категории, negative",""
"passed","Tue Jul 22 09:49:31 GMT 2025","Tue Jul 22 09:49:31 GMT 2025","15","","","","","","Обязательность наличия типа валюты",""
"passed","Tue Jul 22 09:49:12 GMT 2025","Tue Jul 22 09:49:13 GMT 2025","1196","","","","","","Запрет на дубликаты категорий",""
"passed","Tue Jul 22 09:48:47 GMT 2025","Tue Jul 22 09:48:49 GMT 2025","1609","","","","","","Добавление новой траты через GUI Niffler",""
"passed","Tue Jul 22 09:49:13 GMT 2025","Tue Jul 22 09:49:15 GMT 2025","2446","","","","","","Запрет на дубликаты категорий при существования архивной",""
"passed","Tue Jul 22 09:49:28 GMT 2025","Tue Jul 22 09:49:28 GMT 2025","17","","","","","","Граничные значения для значения суммы",""
"passed","Tue Jul 22 09:49:09 GMT 2025","Tue Jul 22 09:49:10 GMT 2025","786","","","","","","Поиск трат по типу валюты",""
"passed","Tue Jul 22 09:49:00 GMT 2025","Tue Jul 22 09:49:00 GMT 2025","38","","","","","","Обновление траты через API, проверка корректности данных в БД",""
"passed","Tue Jul 22 09:49:10 GMT 2025","Tue Jul 22 09:49:11 GMT 2025","796","","","","","","Максимальное количество не архивных категорий для пользователя",""
"passed","Tue Jul 22 09:49:28 GMT 2025","Tue Jul 22 09:49:28 GMT 2025","36","","","","","","Создание новой траты",""
"passed","Tue Jul 22 09:49:05 GMT 2025","Tue Jul 22 09:49:05 GMT 2025","941","","","","","","Поиск трат по дате",""
"passed","Tue Jul 22 09:49:19 GMT 2025","Tue Jul 22 09:49:19 GMT 2025","19","","","","","","Обновление категории через API, проверка корректности данных в БД",""
"passed","Tue Jul 22 09:48:56 GMT 2025","Tue Jul 22 09:48:58 GMT 2025","1760","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Tue Jul 22 09:49:31 GMT 2025","Tue Jul 22 09:49:32 GMT 2025","565","","","","","","Граничные значения у поля ""Имя пользователя"" на странице регистрации",""
"passed","Tue Jul 22 09:48:58 GMT 2025","Tue Jul 22 09:49:00 GMT 2025","1933","","","","","","Удаление траты через GUI Niffler",""
"passed","Tue Jul 22 09:49:33 GMT 2025","Tue Jul 22 09:49:33 GMT 2025","37","","","","","","Нет возможности добавить дубль существующей архивной категории",""
"passed","Tue Jul 22 09:49:29 GMT 2025","Tue Jul 22 09:49:30 GMT 2025","46","","","","","","Добавление новой категории через API",""
"passed","Tue Jul 22 09:48:53 GMT 2025","Tue Jul 22 09:48:55 GMT 2025","1255","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Tue Jul 22 09:49:27 GMT 2025","Tue Jul 22 09:49:27 GMT 2025","30","","","","","","Граничные значения для по количеству символов в имени категории, positive",""
"passed","Tue Jul 22 09:49:27 GMT 2025","Tue Jul 22 09:49:27 GMT 2025","8","","","","","","Запрос информации о незарегистрированном пользователе в системе по username",""
"passed","Tue Jul 22 09:49:07 GMT 2025","Tue Jul 22 09:49:08 GMT 2025","778","","","","","","Поиск трат по типу валюты",""
"passed","Tue Jul 22 09:49:03 GMT 2025","Tue Jul 22 09:49:04 GMT 2025","927","","","","","","Поиск трат по имени категории",""
"passed","Tue Jul 22 09:49:08 GMT 2025","Tue Jul 22 09:49:09 GMT 2025","819","","","","","","Поиск трат по типу валюты",""
"passed","Tue Jul 22 09:49:31 GMT 2025","Tue Jul 22 09:49:31 GMT 2025","55","","","","","","Обновление существующей категории через API",""
"passed","Tue Jul 22 09:49:34 GMT 2025","Tue Jul 22 09:49:34 GMT 2025","17","","","","","","Граничные значения для по количеству символов в имени категории, positive",""
"passed","Tue Jul 22 09:49:05 GMT 2025","Tue Jul 22 09:49:06 GMT 2025","925","","","","","","Поиск трат по дате",""
"passed","Tue Jul 22 09:49:29 GMT 2025","Tue Jul 22 09:49:29 GMT 2025","279","","","","","","Удаление друга",""
"passed","Tue Jul 22 09:49:26 GMT 2025","Tue Jul 22 09:49:27 GMT 2025","511","","","","","","Граничные значения у поля ""Имя пользователя"" на странице регистрации",""
"passed","Tue Jul 22 09:49:28 GMT 2025","Tue Jul 22 09:49:28 GMT 2025","435","","","","","","Принятие запроса на дружбу",""
"passed","Tue Jul 22 09:49:32 GMT 2025","Tue Jul 22 09:49:32 GMT 2025","15","","","","","","Обязательность наличия категории в трате",""
"passed","Tue Jul 22 09:49:28 GMT 2025","Tue Jul 22 09:49:30 GMT 2025","1879","","","","","","Авторизация под существующим пользователем",""
"passed","Tue Jul 22 09:49:30 GMT 2025","Tue Jul 22 09:49:30 GMT 2025","606","","","","","","Наличие свойства required у полей имя пользователя и пароль",""
"passed","Tue Jul 22 09:49:18 GMT 2025","Tue Jul 22 09:49:19 GMT 2025","680","","","","","","Отображение не архивной категории пользователя при добавлении траты",""
"passed","Tue Jul 22 09:49:02 GMT 2025","Tue Jul 22 09:49:03 GMT 2025","874","","","","","","Поиск трат по имени категории",""
"passed","Tue Jul 22 09:48:52 GMT 2025","Tue Jul 22 09:48:53 GMT 2025","1786","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Tue Jul 22 09:49:19 GMT 2025","Tue Jul 22 09:49:20 GMT 2025","845","","","","","","Сервис niffler-userdata должен забирать сообщение из топика Kafka",""
"passed","Tue Jul 22 09:49:04 GMT 2025","Tue Jul 22 09:49:05 GMT 2025","862","","","","","","Поиск трат по имени категории",""
"passed","Tue Jul 22 09:48:49 GMT 2025","Tue Jul 22 09:48:50 GMT 2025","822","","","","","","Подсказки об обязательности полей суммы и категории при добавлении траты",""
"passed","Tue Jul 22 09:49:28 GMT 2025","Tue Jul 22 09:49:28 GMT 2025","403","","","","","","Отклонение запроса на дружбу",""
"passed","Tue Jul 22 09:49:32 GMT 2025","Tue Jul 22 09:49:32 GMT 2025","42","","","","","","Нет возможности добавить дубль существующей категории",""
"passed","Tue Jul 22 09:49:28 GMT 2025","Tue Jul 22 09:49:29 GMT 2025","415","","","","","","Получение списка друзей",""
"passed","Tue Jul 22 09:49:11 GMT 2025","Tue Jul 22 09:49:12 GMT 2025","745","","","","","","Максимальное количество не архивных категорий для пользователя",""
"passed","Tue Jul 22 09:49:34 GMT 2025","Tue Jul 22 09:49:34 GMT 2025","10","","","","","","Граничные значения для значения суммы",""
"passed","Tue Jul 22 09:49:30 GMT 2025","Tue Jul 22 09:49:31 GMT 2025","575","","","","","","Граничные значения у поля ""Пароль"" на странице регистрации",""
"passed","Tue Jul 22 09:49:34 GMT 2025","Tue Jul 22 09:49:34 GMT 2025","10","","","","","","Граничные значения по количеству символов в имени категории, negative",""
