"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 23 09:32:44 GMT 2025","Mon Jun 23 09:32:44 GMT 2025","16","","","","","","Обновление категории через API, проверка корректности данных в БД",""
"passed","Mon Jun 23 09:32:34 GMT 2025","Mon Jun 23 09:32:35 GMT 2025","772","","","","","","Поиск трат по типу валюты",""
"passed","Mon Jun 23 09:32:53 GMT 2025","Mon Jun 23 09:32:53 GMT 2025","40","","","","","","Граничные значения для значения суммы",""
"passed","Mon Jun 23 09:32:21 GMT 2025","Mon Jun 23 09:32:22 GMT 2025","1279","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Mon Jun 23 09:32:29 GMT 2025","Mon Jun 23 09:32:29 GMT 2025","924","","","","","","Поиск трат по имени категории",""
"passed","Mon Jun 23 09:32:17 GMT 2025","Mon Jun 23 09:32:18 GMT 2025","854","","","","","","Создание траты без обязательного поля суммы",""
"passed","Mon Jun 23 09:32:53 GMT 2025","Mon Jun 23 09:32:53 GMT 2025","14","","","","","","Граничные значения по количеству символов в имени категории, negative",""
"broken","Mon Jun 23 09:32:55 GMT 2025","Mon Jun 23 09:32:55 GMT 2025","240","","","","","","Отклонение запроса на дружбу",""
"passed","Mon Jun 23 09:32:53 GMT 2025","Mon Jun 23 09:32:53 GMT 2025","26","","","","","","Граничные значения по количеству символов в имени категории, negative",""
"passed","Mon Jun 23 09:32:53 GMT 2025","Mon Jun 23 09:32:53 GMT 2025","95","","","","","","Нет возможности добавить дубль существующей архивной категории",""
"passed","Mon Jun 23 09:32:32 GMT 2025","Mon Jun 23 09:32:33 GMT 2025","787","","","","","","Поиск трат по типу валюты",""
"passed","Mon Jun 23 09:32:29 GMT 2025","Mon Jun 23 09:32:30 GMT 2025","850","","","","","","Поиск трат по имени категории",""
"passed","Mon Jun 23 09:32:52 GMT 2025","Mon Jun 23 09:32:52 GMT 2025","16","","","","","","Обязательность наличия типа валюты",""
"passed","Mon Jun 23 09:32:52 GMT 2025","Mon Jun 23 09:32:52 GMT 2025","22","","","","","","Обязательность наличия категории в трате",""
"passed","Mon Jun 23 09:32:41 GMT 2025","Mon Jun 23 09:32:43 GMT 2025","2579","","","","","","Архивные категории не отображаются при добавлении траты",""
"passed","Mon Jun 23 09:32:37 GMT 2025","Mon Jun 23 09:32:38 GMT 2025","1227","","","","","","Запрет на дубликаты категорий",""
"passed","Mon Jun 23 09:32:28 GMT 2025","Mon Jun 23 09:32:29 GMT 2025","946","","","","","","Поиск трат по имени категории",""
"passed","Mon Jun 23 09:32:38 GMT 2025","Mon Jun 23 09:32:41 GMT 2025","2461","","","","","","Запрет на дубликаты категорий при существования архивной",""
"passed","Mon Jun 23 09:32:33 GMT 2025","Mon Jun 23 09:32:34 GMT 2025","776","","","","","","Поиск трат по типу валюты",""
"passed","Mon Jun 23 09:32:36 GMT 2025","Mon Jun 23 09:32:37 GMT 2025","711","","","","","","Максимальное количество не архивных категорий для пользователя",""
"passed","Mon Jun 23 09:32:54 GMT 2025","Mon Jun 23 09:32:54 GMT 2025","597","","","","","","Отправка запроса на дружбу",""
"broken","Mon Jun 23 09:32:51 GMT 2025","Mon Jun 23 09:32:51 GMT 2025","0","","","","","","Граничные значения для значения суммы",""
"passed","Mon Jun 23 09:32:57 GMT 2025","Mon Jun 23 09:32:58 GMT 2025","1095","","","","","","Регистрация пользователя с валидными данными",""
"passed","Mon Jun 23 09:32:53 GMT 2025","Mon Jun 23 09:32:53 GMT 2025","28","","","","","","Получение информации о существующем пользователе по его username",""
"passed","Mon Jun 23 09:32:55 GMT 2025","Mon Jun 23 09:32:56 GMT 2025","774","","","","","","Граничные значения у поля ""Пароль"" на странице регистрации",""
"passed","Mon Jun 23 09:32:44 GMT 2025","Mon Jun 23 09:32:44 GMT 2025","701","","","","","","Отображение не архивной категории пользователя при добавлении траты",""
"passed","Mon Jun 23 09:32:53 GMT 2025","Mon Jun 23 09:32:56 GMT 2025","2711","","","","","","Авторизация под существующим пользователем",""
