"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 23 09:22:37 GMT 2025","Mon Jun 23 09:22:39 GMT 2025","1736","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Mon Jun 23 09:22:39 GMT 2025","Mon Jun 23 09:22:41 GMT 2025","1829","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Mon Jun 23 09:22:42 GMT 2025","Mon Jun 23 09:22:44 GMT 2025","1775","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Mon Jun 23 09:22:58 GMT 2025","Mon Jun 23 09:23:01 GMT 2025","2408","","","","","","Запрет на дубликаты категорий при существования архивной",""
"passed","Mon Jun 23 09:22:56 GMT 2025","Mon Jun 23 09:22:56 GMT 2025","761","","","","","","Максимальное количество не архивных категорий для пользователя",""
"passed","Mon Jun 23 09:23:12 GMT 2025","Mon Jun 23 09:23:12 GMT 2025","46","","","","","","Добавление новой категории через API",""
"passed","Mon Jun 23 09:23:17 GMT 2025","Mon Jun 23 09:23:17 GMT 2025","457","","","","","","Регистрация пользователя с валидными данными",""
"passed","Mon Jun 23 09:23:15 GMT 2025","Mon Jun 23 09:23:16 GMT 2025","1089","","","","","","Граничные значения у поля ""Пароль"" на странице регистрации",""
"passed","Mon Jun 23 09:22:33 GMT 2025","Mon Jun 23 09:22:35 GMT 2025","1566","","","","","","Добавление новой траты через GUI Niffler",""
"passed","Mon Jun 23 09:23:13 GMT 2025","Mon Jun 23 09:23:13 GMT 2025","624","","","","","","Принятие запроса на дружбу",""
"broken","Mon Jun 23 09:23:11 GMT 2025","Mon Jun 23 09:23:11 GMT 2025","0","","","","","","Граничные значения для по количеству символов в имени категории, positive",""
"passed","Mon Jun 23 09:23:11 GMT 2025","Mon Jun 23 09:23:11 GMT 2025","16","","","","","","Граничные значения для значения суммы",""
"passed","Mon Jun 23 09:22:49 GMT 2025","Mon Jun 23 09:22:50 GMT 2025","833","","","","","","Поиск трат по имени категории",""
"passed","Mon Jun 23 09:23:12 GMT 2025","Mon Jun 23 09:23:12 GMT 2025","14","","","","","","Возможность добавления траты без описания",""
"passed","Mon Jun 23 09:22:51 GMT 2025","Mon Jun 23 09:22:52 GMT 2025","932","","","","","","Поиск трат по дате",""
"passed","Mon Jun 23 09:23:04 GMT 2025","Mon Jun 23 09:23:04 GMT 2025","17","","","","","","Обновление категории через API, проверка корректности данных в БД",""
"passed","Mon Jun 23 09:23:12 GMT 2025","Mon Jun 23 09:23:12 GMT 2025","69","","","","","","Обновление существующей категории через API",""
"failed","Mon Jun 23 09:23:16 GMT 2025","Mon Jun 23 09:23:17 GMT 2025","784","","","","","","Наличие свойства required у полей имя пользователя и пароль",""
"passed","Mon Jun 23 09:23:12 GMT 2025","Mon Jun 23 09:23:12 GMT 2025","78","","","","","","Нет возможности добавить дубль существующей архивной категории",""
"passed","Mon Jun 23 09:22:35 GMT 2025","Mon Jun 23 09:22:35 GMT 2025","768","","","","","","Подсказки об обязательности полей суммы и категории при добавлении траты",""
"passed","Mon Jun 23 09:23:12 GMT 2025","Mon Jun 23 09:23:12 GMT 2025","25","","","","","","Граничные значения по количеству символов в имени категории, negative",""
"passed","Mon Jun 23 09:23:12 GMT 2025","Mon Jun 23 09:23:12 GMT 2025","31","","","","","","Обязательность наличия категории в трате",""
"passed","Mon Jun 23 09:23:12 GMT 2025","Mon Jun 23 09:23:12 GMT 2025","35","","","","","","Получение существующей траты по id",""
"passed","Mon Jun 23 09:22:36 GMT 2025","Mon Jun 23 09:22:37 GMT 2025","830","","","","","","Создание траты без обязательного поля суммы",""
"passed","Mon Jun 23 09:23:11 GMT 2025","Mon Jun 23 09:23:11 GMT 2025","19","","","","","","Граничные значения для значения суммы",""
"passed","Mon Jun 23 09:23:05 GMT 2025","Mon Jun 23 09:23:05 GMT 2025","816","","","","","","Сервис niffler-userdata должен забирать сообщение из топика Kafka",""
"failed","Mon Jun 23 09:23:13 GMT 2025","Mon Jun 23 09:23:14 GMT 2025","1170","","","","","","Наличие свойства required у полей имя пользователя и пароль",""
"passed","Mon Jun 23 09:22:54 GMT 2025","Mon Jun 23 09:22:55 GMT 2025","820","","","","","","Поиск трат по типу валюты",""
"passed","Mon Jun 23 09:23:13 GMT 2025","Mon Jun 23 09:23:14 GMT 2025","459","","","","","","Отправка запроса на дружбу",""
"passed","Mon Jun 23 09:23:12 GMT 2025","Mon Jun 23 09:23:12 GMT 2025","20","","","","","","Обязательность наличия суммы траты",""
"passed","Mon Jun 23 09:23:12 GMT 2025","Mon Jun 23 09:23:12 GMT 2025","14","","","","","","Обязательность наличия типа валюты",""
"passed","Mon Jun 23 09:23:12 GMT 2025","Mon Jun 23 09:23:12 GMT 2025","16","","","","","","Граничные значения по количеству символов в имени категории, negative",""
"passed","Mon Jun 23 09:22:54 GMT 2025","Mon Jun 23 09:22:54 GMT 2025","768","","","","","","Поиск трат по типу валюты",""
"passed","Mon Jun 23 09:23:12 GMT 2025","Mon Jun 23 09:23:12 GMT 2025","884","","","","","","Граничные значения у поля ""Имя пользователя"" на странице регистрации",""
"passed","Mon Jun 23 09:22:46 GMT 2025","Mon Jun 23 09:22:46 GMT 2025","37","","","","","","Обновление траты через API, проверка корректности данных в БД",""
"passed","Mon Jun 23 09:22:49 GMT 2025","Mon Jun 23 09:22:49 GMT 2025","851","","","","","","Поиск трат по имени категории",""
"passed","Mon Jun 23 09:22:35 GMT 2025","Mon Jun 23 09:22:36 GMT 2025","818","","","","","","Создание траты без обязательного поля категории",""
"passed","Mon Jun 23 09:23:04 GMT 2025","Mon Jun 23 09:23:04 GMT 2025","2","","","","","","Добавление категории через API, проверка корректности данных в БД",""
