"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 30 15:16:00 GMT 2025","Wed Jul 30 15:16:01 GMT 2025","491","","","","","","Граничные значения у поля ""Пароль"" на странице регистрации",""
"passed","Wed Jul 30 15:15:24 GMT 2025","Wed Jul 30 15:15:25 GMT 2025","842","","","","","","Создание траты без обязательного поля суммы",""
"broken","Wed Jul 30 15:16:03 GMT 2025","Wed Jul 30 15:16:03 GMT 2025","0","","","","","","Граничные значения для значения суммы",""
"passed","Wed Jul 30 15:16:01 GMT 2025","Wed Jul 30 15:16:01 GMT 2025","614","","","","","","Граничные значения у поля ""Пароль"" на странице регистрации",""
"passed","Wed Jul 30 15:16:01 GMT 2025","Wed Jul 30 15:16:01 GMT 2025","32","","","","","","Создание новой траты",""
"passed","Wed Jul 30 15:15:52 GMT 2025","Wed Jul 30 15:15:52 GMT 2025","167","","","","","","Убедиться в наличии сообщения в Kafka после успешной регистрации нового пользователя",""
"passed","Wed Jul 30 15:15:59 GMT 2025","Wed Jul 30 15:15:59 GMT 2025","39","","","","","","Отправка запроса на конвертацию без значения типа требуемой валюты",""
"passed","Wed Jul 30 15:15:34 GMT 2025","Wed Jul 30 15:15:34 GMT 2025","35","","","","","","Обновление траты через API, проверка корректности данных в БД",""
"passed","Wed Jul 30 15:15:46 GMT 2025","Wed Jul 30 15:15:49 GMT 2025","2401","","","","","","Запрет на дубликаты категорий при существования архивной",""
"passed","Wed Jul 30 15:16:06 GMT 2025","Wed Jul 30 15:16:06 GMT 2025","771","","","","","","Авторизация под не существующим пользователем",""
"passed","Wed Jul 30 15:16:02 GMT 2025","Wed Jul 30 15:16:02 GMT 2025","4","","","","","","Конвертация валют",""
"passed","Wed Jul 30 15:15:35 GMT 2025","Wed Jul 30 15:15:36 GMT 2025","845","","","","","","Поиск трат по имени категории",""
"passed","Wed Jul 30 15:15:32 GMT 2025","Wed Jul 30 15:15:33 GMT 2025","1897","","","","","","Удаление траты через GUI Niffler",""
"broken","Wed Jul 30 15:16:04 GMT 2025","Wed Jul 30 15:16:04 GMT 2025","0","","","","","","Добавление новой категории через API",""
"passed","Wed Jul 30 15:15:27 GMT 2025","Wed Jul 30 15:15:28 GMT 2025","1778","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Wed Jul 30 15:15:25 GMT 2025","Wed Jul 30 15:15:27 GMT 2025","1744","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Wed Jul 30 15:16:06 GMT 2025","Wed Jul 30 15:16:06 GMT 2025","0","","","","","","Возможность добавления траты без описания",""
"passed","Wed Jul 30 15:15:42 GMT 2025","Wed Jul 30 15:15:42 GMT 2025","770","","","","","","Поиск трат по типу валюты",""
"passed","Wed Jul 30 15:15:22 GMT 2025","Wed Jul 30 15:15:23 GMT 2025","789","","","","","","Подсказки об обязательности полей суммы и категории при добавлении траты",""
"passed","Wed Jul 30 15:15:49 GMT 2025","Wed Jul 30 15:15:51 GMT 2025","2562","","","","","","Архивные категории не отображаются при добавлении траты",""
"passed","Wed Jul 30 15:15:52 GMT 2025","Wed Jul 30 15:15:52 GMT 2025","18","","","","","","Обновление категории через API, проверка корректности данных в БД",""
"broken","Wed Jul 30 15:16:02 GMT 2025","Wed Jul 30 15:16:02 GMT 2025","0","","","","","","Граничные значения для значения суммы",""
"passed","Wed Jul 30 15:16:02 GMT 2025","Wed Jul 30 15:16:02 GMT 2025","19","","","","","","Получение существующей траты по id",""
"passed","Wed Jul 30 15:15:52 GMT 2025","Wed Jul 30 15:15:52 GMT 2025","2","","","","","","Добавление категории через API, проверка корректности данных в БД",""
