"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 22 09:53:46 GMT 2025","Tue Jul 22 09:53:46 GMT 2025","11","","","","","","Граничные значения по количеству символов в имени категории, negative",""
"passed","Tue Jul 22 09:53:26 GMT 2025","Tue Jul 22 09:53:28 GMT 2025","2393","","","","","","Запрет на дубликаты категорий при существования архивной",""
"passed","Tue Jul 22 09:53:28 GMT 2025","Tue Jul 22 09:53:30 GMT 2025","2028","","","","","","Архивные категории не отображаются при добавлении траты",""
"passed","Tue Jul 22 09:53:39 GMT 2025","Tue Jul 22 09:53:39 GMT 2025","465","","","","","","Граничные значения у поля ""Имя пользователя"" на странице регистрации",""
"passed","Tue Jul 22 09:53:44 GMT 2025","Tue Jul 22 09:53:45 GMT 2025","237","","","","","","Наличие свойства required у полей имя пользователя и пароль",""
"passed","Tue Jul 22 09:53:46 GMT 2025","Tue Jul 22 09:53:46 GMT 2025","12","","","","","","Граничные значения для значения суммы",""
"passed","Tue Jul 22 09:53:42 GMT 2025","Tue Jul 22 09:53:42 GMT 2025","483","","","","","","Граничные значения у поля ""Пароль"" на странице регистрации",""
"passed","Tue Jul 22 09:53:47 GMT 2025","Tue Jul 22 09:53:47 GMT 2025","18","","","","","","Граничные значения для по количеству символов в имени категории, positive",""
"passed","Tue Jul 22 09:53:41 GMT 2025","Tue Jul 22 09:53:41 GMT 2025","22","","","","","","Получение существующей траты по id",""
"passed","Tue Jul 22 09:53:45 GMT 2025","Tue Jul 22 09:53:45 GMT 2025","10","","","","","","Граничные значения для значения суммы",""
"passed","Tue Jul 22 09:53:40 GMT 2025","Tue Jul 22 09:53:40 GMT 2025","36","","","","","","Граничные значения для по количеству символов в имени категории, positive",""
"passed","Tue Jul 22 09:53:04 GMT 2025","Tue Jul 22 09:53:05 GMT 2025","830","","","","","","Создание траты без обязательного поля суммы",""
"passed","Tue Jul 22 09:53:31 GMT 2025","Tue Jul 22 09:53:31 GMT 2025","2","","","","","","Добавление категории через API, проверка корректности данных в БД",""
"passed","Tue Jul 22 09:53:31 GMT 2025","Tue Jul 22 09:53:31 GMT 2025","183","","","","","","Убедиться в наличии сообщения в Kafka после успешной регистрации нового пользователя",""
"passed","Tue Jul 22 09:53:45 GMT 2025","Tue Jul 22 09:53:45 GMT 2025","0","","","","","","Возможность добавления траты без описания",""
"passed","Tue Jul 22 09:53:01 GMT 2025","Tue Jul 22 09:53:02 GMT 2025","1577","","","","","","Добавление новой траты через GUI Niffler",""
"passed","Tue Jul 22 09:53:14 GMT 2025","Tue Jul 22 09:53:15 GMT 2025","880","","","","","","Поиск трат по имени категории",""
"passed","Tue Jul 22 09:53:41 GMT 2025","Tue Jul 22 09:53:41 GMT 2025","338","","","","","","Удаление друга",""
"passed","Tue Jul 22 09:53:40 GMT 2025","Tue Jul 22 09:53:40 GMT 2025","308","","","","","","Отклонение запроса на дружбу",""
"passed","Tue Jul 22 09:53:14 GMT 2025","Tue Jul 22 09:53:14 GMT 2025","35","","","","","","Обновление траты через API, проверка корректности данных в БД",""
"passed","Tue Jul 22 09:53:40 GMT 2025","Tue Jul 22 09:53:41 GMT 2025","506","","","","","","Получение списка друзей",""
"passed","Tue Jul 22 09:53:02 GMT 2025","Tue Jul 22 09:53:03 GMT 2025","775","","","","","","Подсказки об обязательности полей суммы и категории при добавлении траты",""
"passed","Tue Jul 22 09:53:44 GMT 2025","Tue Jul 22 09:53:44 GMT 2025","12","","","","","","Обязательность наличия категории в трате",""
"passed","Tue Jul 22 09:53:21 GMT 2025","Tue Jul 22 09:53:22 GMT 2025","772","","","","","","Поиск трат по типу валюты",""
"passed","Tue Jul 22 09:53:42 GMT 2025","Tue Jul 22 09:53:42 GMT 2025","48","","","","","","Добавление новой категории через API",""
"passed","Tue Jul 22 09:53:46 GMT 2025","Tue Jul 22 09:53:46 GMT 2025","10","","","","","","Граничные значения по количеству символов в имени категории, negative",""
"passed","Tue Jul 22 09:53:41 GMT 2025","Tue Jul 22 09:53:42 GMT 2025","516","","","","","","Наличие свойства required у полей имя пользователя и пароль",""
"passed","Tue Jul 22 09:53:31 GMT 2025","Tue Jul 22 09:53:32 GMT 2025","835","","","","","","Сервис niffler-userdata должен забирать сообщение из топика Kafka",""
"passed","Tue Jul 22 09:53:08 GMT 2025","Tue Jul 22 09:53:10 GMT 2025","1767","","","","","","Создание траты с суммой меньше граничного значения для типа валюты",""
"passed","Tue Jul 22 09:53:19 GMT 2025","Tue Jul 22 09:53:20 GMT 2025","802","","","","","","Поиск трат по типу валюты",""
"passed","Tue Jul 22 09:53:40 GMT 2025","Tue Jul 22 09:53:42 GMT 2025","1861","","","","","","Авторизация под существующим пользователем",""
"passed","Tue Jul 22 09:53:45 GMT 2025","Tue Jul 22 09:53:45 GMT 2025","37","","","","","","Нет возможности добавить дубль существующей архивной категории",""
"passed","Tue Jul 22 09:53:40 GMT 2025","Tue Jul 22 09:53:40 GMT 2025","17","","","","","","Создание новой траты",""
"passed","Tue Jul 22 09:53:22 GMT 2025","Tue Jul 22 09:53:23 GMT 2025","773","","","","","","Поиск трат по типу валюты",""
"passed","Tue Jul 22 09:53:41 GMT 2025","Tue Jul 22 09:53:41 GMT 2025","22","","","","","","Граничные значения для значения суммы",""
